date,wet,dry,date2
11/24/16,1.83,4,24-Nov-16
11/25/16,1.83,5,25-Nov-16
11/26/16,1.38,4,26-Nov-16
11/27/16,1.38,2,27-Nov-16
11/28/16,1.38,5,28-Nov-16
11/29/16,1.38,4,29-Nov-16
11/30/16,1.38,4,30-Nov-16
12/1/16,1.38,4,1-Dec-16
12/2/16,1.38,5,2-Dec-16
12/3/16,1.83,4,3-Dec-16
12/4/16,1.38,4,4-Dec-16
12/5/16,1.38,4,5-Dec-16
12/6/16,1.38,5,6-Dec-16
12/7/16,1.38,5,7-Dec-16
12/8/16,0.7,5,8-Dec-16
12/9/16,1.38,6,9-Dec-16
12/10/16,1.38,7,10-Dec-16
12/11/16,1.38,4,11-Dec-16
12/12/16,1.38,7,12-Dec-16
12/13/16,1.38,5,13-Dec-16
12/14/16,1.38,6,14-Dec-16
12/15/16,1.38,6,15-Dec-16
12/16/16,0,6,16-Dec-16
12/17/16,0,8,17-Dec-16
12/18/16,1.38,5,18-Dec-16
12/19/16,1.38,5,19-Dec-16
12/20/16,1.38,7,20-Dec-16
12/21/16,1.38,7,21-Dec-16
12/22/16,1.38,5,22-Dec-16
12/23/16,1.38,7,23-Dec-16
12/24/16,1.38,5,24-Dec-16
12/25/16,1.38,5,25-Dec-16
12/26/16,1.83,8,26-Dec-16
12/27/16,1.83,8,27-Dec-16
12/28/16,1.83,7,28-Dec-16
12/29/16,1.83,7,29-Dec-16
12/30/16,1.83,8,30-Dec-16
12/31/16,1.83,5,31-Dec-16
1/1/17,1.83,8,1-Jan-17
1/2/17,1.83,6,2-Jan-17
1/3/17,1.83,8,3-Jan-17
1/4/17,1.83,6,4-Jan-17
1/5/17,1.83,6,5-Jan-17
1/6/17,1.83,6,6-Jan-17
1/7/17,1.83,4,7-Jan-17
1/8/17,1.83,4,8-Jan-17
1/9/17,1.83,4,9-Jan-17
1/10/17,1.83,8,10-Jan-17
1/11/17,1.83,6,11-Jan-17
1/12/17,1.83,6,12-Jan-17
1/13/17,1.83,4,13-Jan-17
1/14/17,1.83,6,14-Jan-17
1/15/17,1.83,6,15-Jan-17
1/16/17,1.83,6,16-Jan-17
1/17/17,1.83,6,17-Jan-17
1/18/17,1.83,6,18-Jan-17
1/19/17,1.83,6,19-Jan-17
1/20/17,1.83,6,20-Jan-17
1/21/17,1.83,6,21-Jan-17
1/22/17,1.83,6,22-Jan-17
1/23/17,1.83,6,23-Jan-17
1/24/17,1.83,6,24-Jan-17
1/25/17,1.83,6,25-Jan-17
1/26/17,1.83,6,26-Jan-17
1/27/17,1.83,6,27-Jan-17
1/28/17,1.38,6,28-Jan-17
1/29/17,1.38,8,29-Jan-17
1/30/17,1.38,4,30-Jan-17
1/31/17,1.38,6,31-Jan-17
2/1/17,1.38,8,1-Feb-17
2/2/17,1.38,6,2-Feb-17
2/3/17,1.83,6,3-Feb-17
2/4/17,1.83,6,4-Feb-17
2/5/17,1.83,6,5-Feb-17
2/6/17,1.83,6,6-Feb-17
2/7/17,1.83,6,7-Feb-17
2/8/17,1.83,4,8-Feb-17
2/9/17,1.83,6,9-Feb-17
2/10/17,1.83,6,10-Feb-17
2/11/17,1.83,6,11-Feb-17
2/12/17,1.83,2,12-Feb-17
2/13/17,1.1,6,13-Feb-17
2/14/17,1.1,6,14-Feb-17
2/15/17,1.1,6,15-Feb-17
2/16/17,1.1,6,16-Feb-17
2/17/17,1.38,6,17-Feb-17
2/18/17,1.38,4,18-Feb-17
2/19/17,1.38,6,19-Feb-17
2/20/17,1.38,6,20-Feb-17
2/21/17,1.38,4,21-Feb-17
2/22/17,1.38,6,22-Feb-17
2/23/17,1.38,8,23-Feb-17
2/24/17,1.38,8,24-Feb-17
2/25/17,1.38,6,25-Feb-17
2/26/17,1.38,6,26-Feb-17
2/27/17,1.38,6,27-Feb-17
